All,Tot
"Failure History Lifetime","Durada de l'Historial de Fallades"
"Save Currency Rates","Guardar els tipus de canvi"
Options,Opcions
Import,Importar
"Manage Currency Rates","Gestionar els tipus de canvi"
"Import Service","Servei d’importació"
"Save Currency Symbols","Desar símbols de moneda"
"Currency Symbols","Símbols de moneda"
"Use Standard","Utilitzar estàndard"
"Click ""Save"" to apply the rates we found.","Feu clic a ""Desa"" per aplicar les tarifes que hem trobat."
"Currency Rates","Tipus de canvi de divises"
"Please correct the input data for ""%1 => %2"" rate.","Corregiu les dades d’entrada per la tarifa ""%1 => %2""."
"All valid rates have been saved.","S'han desat totes les tarifes vàlides."
"You applied the custom currency symbols.","Heu aplicat els símbols de moneda personalitzada."
"You must first configure currency options before being able to see currency rates.","Primer has de configurar les opcions de moneda abans de poder veure els tipus de canvi de divises."
"Old rate:","Tarifa antiga:"
"Normalize Date","Normalitzar data"
"You are subscribed to our newsletter.","Esteu subscrit al nostre butlletí."
"You aren't subscribed to our newsletter.","No esteu subscrit al nostre butlletí."
"You have not set a default shipping address.","No heu definit una adreça d’enviament predeterminada."
"You have not set a default billing address.","No heu definit una adreça de facturació predeterminada."
"Address Book","Llibreta d'adreces"
"Edit Address","Edita l'adreça"
"Add New Address","Afegir nova adreça"
region,regió
"Save Customer","Desar Client"
"Delete Customer","Eliminar Client"
"Reset Password","Restablir la contrasenya"
"Are you sure you want to revoke the customer's tokens?","Esteu segur que voleu revocar els tokens del client?"
"Force Sign-In","Força l’inici de sessió"
"New Customer","Nou Client"
"Shopping Cart from %1","Cistella de la compra des de %1"
Newsletter,Butlletí
"Newsletter Information","Informació del butlletí"
"Subscribed to Newsletter","Subscrit al butlletí"
"Last Date Subscribed","Última data de subscripció"
"Last Date Unsubscribed","Última data no subscrit"
"No Newsletter Found","No s’ha trobat cap butlletí"
"Start date","Data d'inici"
"Receive Date","Data de recepció"
Subject,Assumpte
Sent,Enviat
"Not Sent","No enviat"
Sending,Enviant
Paused,"En pausa"
View,Vista
Unknown,Desconegut
Purchased,Adquirit
"Bill-to Name","Nom de facturació"
"Ship-to Name","Nom d'enviament"
"Purchase Point","Punt de compra"
"There are no items in customer's shopping cart.","No hi ha articles a la cistella de la compra del client."
Confirmed,Confirmat
"Confirmation Required","Confirmació requerida"
"Confirmation Not Required","Confirmació no requerida"
Indeterminate,Indeterminat
"The customer does not have default billing address.","El client no té una adreça de facturació predeterminada."
Offline,Desconectat
Online,Connectat
Never,Mai
Unlocked,Desbloquejat
Locked,Bloquejat
"Deleted Stores","Botigues eliminades"
"Add Locale","Afegir configuració regional"
"Add Date","Afegir data"
"Days in Wish List","Dies a la Llista de desitjos"
Unlock,Desbloqueja
"Delete File","Eliminar fitxer"
"Delete Image","Eliminar imatge"
"View Full Size","Veure a mida completa"
"All countries","Tots els països"
"Add New Customer Group","Afegir nou grup de clients"
"Save Customer Group","Desar grup de clients"
"Delete Customer Group","Eliminar grup de clients"
"New Customer Group","Nou grup de clients"
"Edit Customer Group ""%1""","Editar grup del cliente ""%1"""
"Group Information","Informació del grup"
"Group Name","Nom del grup"
"Maximum length must be less then %1 characters.","La longitud màxima ha de ser inferior a %1 caràcters."
"Tax Class","Classe impositiva"
"The customer is now assigned to Customer Group %s.","El client ara està assignat al grup de clients %s."
"Would you like to change the Customer Group for this order?","Voleu canviar el grup de clients per aquesta comanda?"
"The VAT ID is valid.","L’ID d’IVA és vàlid."
"The VAT ID entered (%s) is not a valid VAT ID.","L’identificador d’IVA introduït (%s) no és un identificador d’IVA vàlid."
"The VAT ID is valid. The current Customer Group will be used.","L’ID d’IVA és vàlid. S'utilitzarà el Grup de Clients actual."
"The VAT ID is valid but no Customer Group is assigned for it.","L'identificador d'IVA és vàlid, però no hi ha assignat cap grup de clients."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","A partir de l’identificador d’IVA, el client pertany al grup de clients %s."
"Something went wrong while validating the VAT ID.","Alguna cosa ha fallat mentre es validava la identificació de l'IVA."
"The customer would belong to Customer Group %s.","El client pertanyeria al grup de clients %s."
"There was an error detecting Customer Group.","S'ha produït un error en detectar el grup de clients."
"Validate VAT Number","Validar el número d’IVA"
"Customer Login","Inici de sessió del client"
"Create New Customer Account","Crear un nou compte d'usuari"
"Date of Birth","Data de naixement"
"Bad request.","Sol·licitud errònia."
"This confirmation key is invalid or has expired.","Aquesta clau de confirmació no és vàlida o ha caducat."
"There was an error confirming the account","S'ha produït un error en confirmar el compte"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça de facturació per calcular l'IVA correctament."
"Thank you for registering with %1.","Gràcies per registrar-vos amb %1."
"Please check your email for confirmation key.","Comproveu la vostra adreça de correu electrònic per obtenir la clau de confirmació."
"This email does not require confirmation.","Aquest correu electrònic no requereix confirmació."
"Wrong email.","Correu electrònic incorrecte."
"Your password reset link has expired.","L’enllaç de restabliment de contrasenya ha caducat."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Heu de confirmar el compte. Reviseu la bústia de correu electrònic per l'enllaç de confirmació o cliqueu <a href=""%1"">aquí</a> per rebre un nou enllaç."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Ja hi ha un compte amb aquesta adreça de correu electrònic. Si esteu segurs que es tracta de la vostra adreça de correu electrònic, feu clic <a href=""%1"">aquí</a> per obtenir la vostra contrasenya i accedir al vostre compte."
"We can't save the customer.","No podem desar el client."
"Please make sure your passwords match.","Si us plau, assegureu-vos que les vostres contrasenyes coincideixin."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Si sou un client amb IVA registrat, feu clic a <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Si sou un client amb IVA registrat, si us plau, feu clic <a href=""%1"">aquí</a> per introduir la vostra adreça d’enviament per calcular l’IVA correctament."
"You saved the account information.","Heu desat la informació del compte."
"Password confirmation doesn't match entered password.","La confirmació de la contrasenya no coincideix amb la contrasenya introduïda."
"The password doesn't match this account.","La paraula clau no coincideix amb aquest compte."
"Please correct the email address.","Si us plau, corregiu l’adreça de correu electrònic."
"We're unable to send the password reset email.","No podem enviar el correu electrònic de restabliment de la contrasenya."
"Please enter your email.","Si us plau, introduïu el vostre correu electrònic."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Si hi ha un compte associat a %1, rebrà un correu electrònic amb un enllaç per restablir la contrasenya."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Aquest compte no està confirmat. Feu clic <a href=""%1"">aquí</a> per reenviar el correu electrònic de confirmació."
"An unspecified error occurred. Please contact us for assistance.","S'ha produït un error no especificat. Si us plau, poseu-vos en contacte amb nosaltres per obtenir ajuda."
"A login and a password are required.","Cal un inici de sessió i una contrasenya."
"New Password and Confirm New Password values didn't match.","Els valors de Nova Contrasenya i Confirma Nova Contrasenya no coincideixen."
"Please enter a new password.","Si us plau, introduïu una nova contrasenya."
"You updated your password.","Heu actualitzat la vostra contrasenya."
"Something went wrong while saving the new password.","Alguna cosa ha anat malament desant la nova contrasenya."
"You deleted the address.","Heu eliminat l'adreça."
"We can't delete the address right now.","No podeu eliminar l'adreça en aquests moments."
"You saved the address.","Heu desat l'adreça."
"We can't save the address.","No podem desar l'adreça."
"No customer ID defined.","No s’ha definit l’identificador de client."
"Please correct the quote items and try again.","Si us plau, corregiu els articles del pressupost i proveu-ho de nou."
"You have revoked the customer's tokens.","Heu revocat els tokens del client."
"We can't find a customer to revoke.","No podem trobar el client per revocar."
"Something went wrong while saving file.","Alguna cosa ha anat malament desant el fitxer."
"You deleted the customer group.","Heu suprimit el grup de clients."
"The customer group no longer exists.","Aquest grup de clients ja no existeix."
"New Group","Nou grup"
"New Customer Groups","Nou grup de clients"
"Edit Group","Edita el grup"
"Edit Customer Groups","Editar grups de clients"
"You saved the customer group.","Heu desat el grup de clients."
"Please select customer(s).","Si us plau, seleccioneu client(s)."
"Customer could not be deleted.","El client no s'ha pogut suprimir."
"You deleted the customer.","Heu eliminat el client."
"Something went wrong while editing the customer.","Alguna cosa ha anat malament editant el client."
"Manage Customers","Gestionar Clients"
"A total of %1 record(s) were updated.","S'han actualitzat un total de %1 registres."
"A total of %1 record(s) were deleted.","Un total de %1 registre(s) s'ha(n) eliminat."
"The customer will receive an email with a link to reset password.","El client rebrà un correu electrònic amb un enllaç per restablir la contrasenya."
"Something went wrong while resetting customer password.","S'ha produït un error al restablir la contrasenya del client."
"You saved the customer.","Heu desat el client."
"Something went wrong while saving the customer.","Alguna cosa ha anat malament desant el client."
"Customer has been unlocked successfully.","El client s’ha desbloquejat correctament."
"Online Customers","Clients connectats"
"Customers Now Online","Clients connectats ara mateix"
"Please define Wish List item ID.","Si us plau, definiu l’ID d’element de la Llista de desitjos."
"Please load Wish List item.","Si us plau, carregueu l'element de la Llista de desitjos."
"Login successful.","Sessió iniciada correctament."
"Invalid login or password.","Inici de sessió o contrasenya no vàlids."
"""%1"" section source is not supported","L'origen de la secció ""%1"" no és compatible"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 no pot extendre \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","No cal confirmació."
"Account already active","El compte ja està actiu"
"Invalid confirmation token","El token de confirmació no és vàlid"
"The account is locked.","El compte està bloquejat."
"This account is not confirmed.","Aquest compte no està confirmat."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values: %template1 or %template2.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName. Valors possibles: %template1 o %template2."
"Please enter a password with at most %1 characters.","Si us plau, introduïu una contrasenya amb un màxim de %1 caràcters."
"Please enter a password with at least %1 characters.","Si us plau, introduïu una paraula clau amb un mínim de %1 caràcters."
"The password can't begin or end with a space.","La paraula clau no pot començar ni finalitzar amb un espai."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","El mínim de classes diferents de caràcters a la contrasenya és %1. Classes de caràcters: Minúscula, Majúscula, Numèrics, Caràcters especials."
"Password cannot be the same as email address.","La paraula clau no pot ser la mateixa que l’adreça de correu electrònic."
"This customer already exists in this store.","Aquest client ja existeix en aquesta botiga."
"A customer with the same email already exists in an associated website.","Ja existeix un client amb el mateix correu electrònic en un lloc web associat."
"Invalid value of ""%value"" provided for the %fieldName field.","Valor no vàlid de ""%value"" proporcionat al camp %fieldName."
"%fieldName is a required field.","%fieldName és un camp obligatori."
"Reset password token mismatch.","Token de restabliment de paraula clau no coincident."
"Reset password token expired.","Restablir token de contrasenya caducat."
"Please correct the transactional account email type.","Si us plau, corregiu el tipus de correu electrònic del compte transaccional."
"""%1"" is a required value.","""%1"" és un valor obligatori."
"Per Website","Per lloc web"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","No podem compartir comptes de client globalment quan els comptes comparteixen adreces de correu electrònic idèntiques en més d’un lloc web."
"Please enter a valid password reset token.","Si us plau, Introduïu un token de restabliment de contrasenya vàlid."
"The password can not begin or end with a space.","La contrasenya no pot començar ni finalitzar amb un espai."
"ALL GROUPS","TOTS ELS GRUPS"
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","Cap entitat amb %fieldName = %fieldValue, %field2Name = %field2Value"
"File can not be saved to the destination folder.","El fitxer no es pot desar a la carpeta de destinació."
"Unable to create directory %1.","No es pot crear el directori %1."
"Destination folder is not writable or does not exists.","La carpeta de destinació no té permisos d'escriptura o no existeix."
"Something went wrong while saving the file.","Alguna cosa ha anat malament desant el fitxer."
"Attribute object is undefined","L’objecte d’atribut no està definit"
"""%1"" invalid type entered.","El tipus introduït ""%1"" no és vàlid."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" conté caràcters no alfabètics o no numèrics."
"""%1"" is an empty string.","""%1"" és una cadena buida."
"""%1"" contains non-numeric characters.","""%1"" conté caràcters no numèrics."
"""%1"" contains non-alphabetic characters.","""%1"" conté caràcters no alfabètics."
"""%1"" is not a valid email address.","""%1"" no és una adreça de correu electrònic vàlida."
"""%1"" is not a valid hostname.","""%1"" no és un nom de host vàlid."
"""%1"" uses too many characters.","""%1"" utilitza massa caràcters."
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' sembla una adreça IP, que no és un format acceptable."
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' sembla un nom de host DNS, però conté un guió en una posició no vàlida."
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' sembla un nom de host DNS, però no es pot combinar amb l'esquema de nom de host per a TLD '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' sembla un nom de host DNS, però no pot extreure's la part TLD."
"'%value%' does not look like a valid local network name.","'%value%' no sembla un nom de xarxa local vàlid."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' sembla un nom de xarxa local, que no és un format acceptable."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' sembla que és un nom de host DNS, però no es pot descodificar la notació indicada amb punycode."
"""%1"" is not a valid URL.","""%1"" no és una URL vàlida."
"""%1"" is not a valid date.","""%1"" no és una data vàlida."
"""%1"" does not fit the entered date format.","""%1"" no s'adapta al format de data introduït."
"Please enter a valid date between %1 and %2 at %3.","Si us plau, introduïu una data vàlida entre %1 i %2 a %3."
"Please enter a valid date equal to or greater than %1 at %2.","Si us plau, introduïu una data vàlida igual o superior a %1 a %2."
"Please enter a valid date less than or equal to %1 at %2.","Si us plau, introduïu una data vàlida igual o inferior a %1 a %2."
"""%1"" is not a valid file extension.","""%1"" no és una extensió de fitxer vàlida."
"""%1"" is not a valid file.","""%1"" no és un fitxer vàlid."
"""%1"" exceeds the allowed file size.","""%1"" supera la mida de fitxer permesa."
"""%1"" is not a valid image format.","""%1"" no és un format d'imatge vàlid."
"""%1"" width exceeds allowed value of %2 px.","L'amplada ""%1"" supera el valor permès de %2 px."
"""%1"" height exceeds allowed value of %2 px.","L'alçada ""%1"" supera el valor permès de %2 px."
"""%1"" length must be equal or greater than %2 characters.","La longitud ""%1"" ha de ser igual o superior a %2 caràcters."
"""%1"" length must be equal or less than %2 characters.","La longitud ""%1"" ha de ser igual o inferior a %2 caràcters."
"Please enter a customer email.","Si us plau, introduïu un correu electrònic del client."
"A customer website ID must be specified when using the website scope.","Cal utilitzar un identificador de lloc web de client quan s’utilitzi l’abast (scope) del lloc web."
"Customer Group","Grup de client"
"You can't delete group ""%1"".","No podeu eliminar el grup ""%1""."
"Customer Group already exists.","El Grup de clients ja existeix."
"Cannot delete group.","No es pot eliminar el grup."
"Error during VAT Number verification.","Error durant la verificació del número d’IVA."
"PHP SOAP extension is required.","L’extensió PHP SOAP és necessària."
"VAT Number is valid.","El número d’IVA és vàlid."
"Please enter a valid VAT number.","Si us plau, introduïu un número d’IVA vàlid."
"Your VAT ID was successfully validated.","La vostra identificació d’IVA s’ha validat correctament."
"You will be charged tax.","Se us cobrarà impost."
"You will not be charged tax.","No se us cobrarà impost."
"The VAT ID entered (%1) is not a valid VAT ID.","L'identificador d'IVA introduït (%1) no és un número d'IVA vàlid."
"Your Tax ID cannot be validated.","No es pot validar el vostre identificador fiscal."
"If you believe this is an error, please contact us at %1","Si creieu que es tracta d’un error, poseu-vos en contacte amb nosaltres a %1"
"No such entity with %fieldName = %fieldValue","No hi ha entitat amb %fieldName = %fieldValue"
Male,Home
Female,Dona
"Not Specified","No especificat"
"Thank you for registering with","Gràcies per registrar-vos amb"
"enter your billing address for proper VAT calculation","introduïu la vostra adreça de facturació per calcular l'IVA correctament"
"enter your shipping address for proper VAT calculation","introduïu la vostra adreça d'enviament per calcular l'IVA correctament"
"Please enter new password.","Si us plau, introduïu una nova paraula clau."
Exception,Excepció
"Exception message","Missatge d’excepció"
"Validator Exception","Excepció de validador"
"Localized Exception","Excepció localitzada"
"NOT LOGGED IN","NO AUTENTICAT"
"Please enter the state/province.","Si us plau, introduïu Estat/Província."
"region is a required field.","regió és un camp obligatori."
"regionId is a required field.","regionId és un camp obligatori."
Label,Etiqueta
Select...,Seleccioneu...
Visitor,Visitant
"Personal Information","Informació personal"
"Last Logged In:","Últim inici de sessió:"
"Last Logged In (%1):","Últim inici de sessió (%1):"
"Account Lock:","Bloqueig de compte:"
"Confirmed email:","Correu electrònic confirmat:"
"Account Created:","Compte creat:"
"Account Created on (%1):","Compte creat el (%1):"
"Account Created in:","Compte creat a:"
"Customer Group:","Grup de client:"
"Default Billing Address","Adreça de facturació predeterminada"
"Sales Statistics","Estadístiques de vendes"
"Average Sale","Venda mitjana"
"Manage Addresses","Gestionar adreces"
"Default Shipping Address","Adreça d'enviament predeterminada"
"Contact Information","Informació de contacte"
"Change Password","Canviar la contrasenya"
Newsletters,Butlletí
"You are subscribed to ""General Subscription"".","Esteu subscrit a ""Subscripció general""."
or,o
"Default Addresses","Adreces per defecte"
"Change Billing Address","Canvia adreça de facturació"
"You have no default billing address in your address book.","No teniu cap adreça de facturació predeterminada a la vostra llibreta d’adreces."
"Change Shipping Address","Canvia adreça d'enviament"
"You have no default shipping address in your address book.","No teniu cap adreça d'enviament predeterminada a la vostra llibreta d’adreces."
"Additional Address Entries","Entrades addicionals d’adreces"
"Delete Address","Esborrar adreça"
"You have no other address entries in your address book.","No teniu cap altra adreça a la vostra llibreta d'adreces."
"Street Address %1","Carrer de l'adreça %1"
"It's a default billing address.","És una adreça de facturació predeterminada."
"Use as my default billing address","Feu-la servir com a adreça de facturació predeterminada"
"It's a default shipping address.","És una adreça d'enviament predeterminada."
"Use as my default shipping address","Utilitzeu-la com a adreça d’enviament predeterminada"
"Go back","Torna enrere"
"Please enter your email below and we will send you the confirmation link.","Si us plau, introduïu el vostre correu electrònic a continuació i us enviarem l’enllaç de confirmació."
"Send confirmation link","Envia un enllaç de confirmació"
"Back to Sign In","Torna a iniciar la sessió"
"Change Email","Canvia el correu electrònic"
"Change Email and Password","Canvieu l'adreça electrònica i contrasenya"
"Current Password","Contrasenya actual"
"Password Strength","Solidesa de la contrasenya"
"No Password","Sense contrasenya"
"Confirm New Password","Confirmeu la nova contrasenya"
"Please enter your email address below to receive a password reset link.","Introduïu la vostra adreça de correu electrònic a continuació per rebre un enllaç de restabliment de contrasenya."
"Reset My Password","Reinicia la contrasenya"
"Registered Customers","Clients registrats"
"If you have an account, sign in with your email address.","Si teniu un compte, inicieu la sessió amb la vostra adreça de correu electrònic."
"Subscription option","Opció de subscripció"
"General Subscription","Subscripció general"
"Sign Up for Newsletter","Inscriure's al butlletí"
"Address Information","Informació de l'adreça"
"Sign-in Information","Informació d'inici de sessió"
"Confirm Password","Confirmeu la contrasenya"
"Create an Account","Crear un compte"
"Set a New Password","Estableix una nova contrasenya"
"You have signed out and will go to our homepage in 5 seconds.","Heu tancat la sessió i anireu a la pàgina principal en 5 segons."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","La creació d’un compte té molts avantatges: fer una ullada més ràpida, mantenir més d’una adreça, fer el seguiment de les comandes i molt més."
"Tax/VAT number","Número d'Identificació Fiscal"
"Welcome to %store_name","Us donem la benvinguda a %store_name"
"Welcome to %store_name.","Us donem la benvinguda a %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Per iniciar sessió, utilitzeu aquestes credencials durant la formalització de la comanda o a la pàgina <a href=""%customer_url"">El meu compte</a>:"
Email:,Correu:
Password:,Contrasenya:
"Password you set when creating account","Contrasenya indicada quan es va crear el compte"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Contrasenya oblidada? Feu clic <a href=""%reset_url"">aquí</a> per a restaurar-la."
"Proceed through checkout faster","Formalitzar la comanda ràpidament"
"Check the status of orders","Comprovar l'estat de les comandes"
"View past orders","Veure comandes anteriors"
"Store alternative addresses (for shipping to multiple family members and friends)","Emmagatzema adreces alternatives (per enviar a diversos membres de la família i amics)"
"Please confirm your %store_name account","Si us plau, confirmeu el vostre compte de %store_name"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Per poder iniciar la sessió, heu de confirmar el vostre correu electrònic de %customer_email (l'enllaç només és vàlid una vegada):"
"Confirm Your Account","Confirmeu el vostre compte"
"Thank you for confirming your %store_name account.","Gràcies per confirmar el vostre compte de %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Per iniciar la sessió al nostre lloc i configurar una contrasenya, feu clic al següent <a href=""%create_password_url"">enllaç</a>:"
"Your %store_name email has been changed","S'ha canviat el vostre correu electrònic de %store_name"
"Hello,","Hola,"
"We have received a request to change the following information associated with your account at %store_name: email.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte a %store_name: correu electrònic."
"If you have not authorized this action, please contact us immediately at <a href=""mailto:%store_email"">%store_email</a>","Si no heu autoritzat aquesta acció, contacteu-nos immediatament a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o truqueu-nos a <a href=""tel:%store_phone"">%store_phone</a>"
"Thanks,<br>%store_name","Gràcies,<br>%store_name"
"Your %store_name email and password has been changed","S'ha canviat el vostre correu electrònic i contrasenya de %store_name"
"We have received a request to change the following information associated with your account at %store_name: email, password.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte %store_name: correu electrònic, contrasenya."
"Reset your %store_name password","Restabliu la vostra contrasenya de %store_name"
"There was recently a request to change the password for your account.","Recentment hi ha hagut una sol·licitud per canviar la contrasenya del vostre compte."
"If you requested this change, set a new password here:","Si heu sol·licitat aquest canvi, establiu una nova contrasenya aquí:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Si no heu realitzat aquesta sol·licitud, podeu ignorar aquest correu electrònic i la vostra contrasenya continuarà essent la mateixa."
"Your %store_name password has been changed","La vostra contrasenya de %store_name s'ha canviat"
"We have received a request to change the following information associated with your account at %store_name: password.","Hem rebut una sol·licitud per canviar la informació següent associada amb el vostre compte %store_name: contrasenya."
"Checkout as a new customer","Finalitzar la compra com a un nou client"
"Creating an account has many benefits:","La creació d’un compte té molts avantatges:"
"See order and shipping status","Consulteu l'estat de la comanda i l'enviament"
"Track order history","Fer el seguiment de l’historial de comandes"
"Check out faster","Fes una ullada més ràpida"
"Checkout using your account","Finalitzar la compra utilitzant el vostre compte"
"Email Address","Correu electrònic"
"Are you sure you want to delete this address?","Esteu segur que voleu eliminar aquesta adreça?"
Weak,Dèbil
Medium,Mig
Strong,Fort
"Very Strong","Molt fort"
"All Customers","Tots els clients"
"Now Online","Ara connectats"
"Customers Section","Secció de clients"
"Customer Configuration","Configuració de client"
"Account Sharing Options","Opcions de compte per compartir"
"Share Customer Accounts","Comaprtir comptes de client"
"Create New Account Options","Crear noves opcions per un compte"
"Enable Automatic Assignment to Customer Group","Activa l’assignació automàtica al grup de clients"
"Tax Calculation Based On","Càlcul tributari basat en"
"Default Group","Grup predeterminat"
"Group for Valid VAT ID - Domestic","Grup per identificació vàlida d'IVA - Nacional"
"Group for Valid VAT ID - Intra-Union","Grup per identificació vàlida d'IVA - Intra-Unió"
"Group for Invalid VAT ID","Grup per indetificació d'IVA no vàlida"
"Validation Error Group","Grup d’errors de validació"
"Validate on Each Transaction","Validar a cada transacció"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valor per defecte per desactivar els canvis automàtics del grup basats en l'ID d'IVA"
"Show VAT Number on Storefront","Mostra el número d’IVA a la botiga"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Per mostrar el número d'IVA a la botiga, configureu l'opció Mostra el número d'IVA a la botiga a Sí."
"Default Email Domain","Domini de Correu Electrònic Predeterminat"
"Default Welcome Email","Correu electrònic de benvinguda predeterminat"
"Default Welcome Email Without Password","Correu electrònic de benvinguda predeterminat sense contrasenya"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Aquest correu electrònic s'enviarà en lloc del Correu Electrònic de Benvinguda per Defecte, si un client es va crear sense paraula clau. <br /><br />
                        Plantilla de correu electrònic seleccionada basada en l'alternativa (fallback) de temes quan s'ha seleccionat l'opció ""Per Defecte""."
"Require Emails Confirmation","Requerir confirmació de correus electrònics"
"Confirmation Link Email","Correu electrònic d’enllaç de confirmació"
"Welcome Email","Email de benviguda"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","Aquest correu electrònic s'enviarà en lloc del Correu Electrònic de Benvinguda per Defecte, després de la confirmació del compte. <br /><br />
                        Plantilla de correu electrònic seleccionada basada en l'alternativa (fallback) de tema quan s'ha seleccionat l'opció ""Per Defecte""."
"Generate Human-Friendly Customer ID","Genereu un identificador de client amigable per a les persones"
"Password Options","Opcions de contrasenya"
"Forgot Email Template","Plantilla de Correu electrònic oblidat"
"Remind Email Template","Plantilla de Recorda correu electrònic"
"Reset Password Template","Plantilla de Restableix contrasenya"
"Password Template Email Sender","Plantilla de Contrasenya de remitent de correu electrònic"
"Number of Required Character Classes","Nombre de classes de caràcters obligatoris"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Nombre de classes de caràcters diferents requerides a la contrasenya: minúscules, majúscules, xifres, caràcters especials."
"Minimum Password Length","Longitud mínima de la contrasenya"
"Maximum Login Failures to Lockout Account","Nombre màxim de fallades d’inici de sessió per bloquejar el compte"
"Use 0 to disable account locking.","Utilitzeu 0 per desactivar el bloqueig del compte."
"Lockout Time (minutes)","Temps de bloqueig (minuts)"
"Enable Autocomplete on login/forgot password forms","Activa auto-completar en els formularis d'inici de sessió o contrasenya oblidada"
"Account Information Options","Opcions d'informació del compte"
"Change Email Template","Edita la plantilla de correu electrònic"
"Change Email and Password Template","Canvieu la plantilla de correu electrònic i contrasenya"
"Name and Address Options","Opcions de nom i adreça"
"Number of Lines in a Street Address","Nombre de línies en el carrer de l'adreça"
"Valid range: 1-4","Interval vàlid: 1-4"
"Show Prefix","Mostra el prefix"
"The title that goes before name (Mr., Mrs., etc.)","Títol abans del nom (Sr., Sra., etc.)"
"Prefix Dropdown Options","Opcions del desplegable de prefixos"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Valors separats per punt i coma (;).<br/>Deixeu buit per a un camp de text lliure."
"Show Middle Name (initial)","Mostra el nom intermedi (inicial)"
"Always optional.","Sempre opcional."
"Show Suffix","Mostra el sufix"
"The suffix that goes after name (Jr., Sr., etc.)","Sufix després del nom (Jr., Sr., etc.)"
"Suffix Dropdown Options","Opcions del desplegable de sufixos"
"Show Date of Birth","Mostra la data de naixement"
"Show Tax/VAT Number","Mostra número d'impostos/IVA"
"Show Gender","Mostra el gènere"
"Show Telephone","Mostra el telèfon"
"Show Company","Mostra l'empresa"
"Show Fax","Mostra el fax"
"Login Options","Opcions d’inici de sessió"
"Redirect Customer to Account Dashboard after Logging in","Redirigiu el client al tauler de comptes després d'iniciar la sessió"
"Customer will stay on the current page if ""No"" is selected.","El client romandrà a la pàgina actual si selecciona ""No""."
"Address Templates","Plantilles d'adreces"
"Online Customers Options","Opcions de clients connectats"
"Online Minutes Interval","Interval de minuts connectat"
"Leave empty for default (15 minutes).","Deixeu-lo buit per defecte (15 minuts)."
"Customer Data Lifetime","Durada de Dades del Client"
"Please specify value in minutes.","Si us plau, especifiqueu el valor en minuts."
